ID,DEPARTAMENTO,CABECERA,PROVINCIA,385
420,"CASEROS","CASILDA","SANTAFE",2056
421,"9DEJULIO","TOSTADO","SANTAFE",4929
422,"SANMARTIN","SASTRE","SANTAFE",5700
423,"GENERALOBLIGADO","RECONQUISTA","SANTAFE",40331
424,"LACAPITAL","SANTAFE","SANTAFE",6460
425,"CONSTITUCION","VILLACONSTITUCION","SANTAFE",372
426,"LOSANDES","LOSANDES","SALTA",533
427,"SUSQUES","SUSQUES","JUJUY",21678
428,"SANFERNANDO","RESISTENCIA","CHACO",871
429,"SANCOSME","SANCOSME","CORRIENTES",41
430,"LAPOMA","LAPOMA","SALTA",1315
431,"CHACABUCO","CONCARAN","SANLUIS",0
432,"JUANMARTINDEPUEYRREDON","SANLUIS","SANLUIS",9449
433,"GENERALPEDERNERA","VILLAMERCEDES","SANLUIS",116
434,"LIBERTADORGENERALSANMARTIN","","SANLUIS",745
435,"CORONELPRINGLES","LATOMA","SANLUIS",916
436,"JUNIN","SANTAROSADECONLARA","SANLUIS",355
437,"LACALDERA","LACALDERA","SALTA",8487
438,"CAPITAL","LARIOJA","LARIOJA",1854
439,"HUILICHES","JUNINDELOSANDES","NEUQUEN",88
440,"CATANLIL","LASCOLORADAS","NEUQUEN",183
441,"IRUYA","IRUYA","SALTA",2899
